Tankname,Armament,Country users,Designer Country,Combat Equipment,Crew,Armor,Weight(kg),Speed(km/h),Range(km),Dimensions,Accessories,Length(m),Width(m),Height(m)
PL-01,"One 105 or 120mm cannon, one 7.62mm coaxial machine gunnd one 7.62 or 12.7mm machine gun",Concept vehicle,Poland,,3 + 4 soldiers,"Protectiont the frontgainst 30mm caliber, hull STANAG 4569 Level 4and 4b",,,500,Length: 7.00 m; Width: 3.8 m; Heigh: 2.8 m,"NBC protection system, fire-extinguishing system, battlefield management system, night/day vision, heatingndir conditioning system,utomatic fire control system, radar self-protection system.",7,3.8,2.8
PT-16 MBT,"One 120mm cannon, one 7.62mm coaxial machine, one remotely operated weapon stationrmed with one 12.7mm machine gun",Under development,Poland,,3,Modular composite armour package,"47,500",70  on the road,500,Length: 9.67 m; Width: 3.34 m; Height: 2.6 m,"Battlefield management system, OBRA III laser-warning system, auxiliary power unit (APU) with air-conditioning system, NBC protection system, computerized fire control ystem.",9.67,3.34,2.6
PT-91 Twardy,"One 125 mm, one PKT 7.62mm coaxial machine gun, and one NSV 12.7 mm anti-aircraft machine gun.","Poland, Malaysia, Ukraine",Poland,"Fire control system, NBC protection system, night vision equipment.",3,Steel armor and Polish-made ERA reactive armor ERAWA-1 and ERAWA-2.,"45,300",60  road speed,650,Length: 9.67 m; Width: 3.59 m; Height: 2.19 m,,9.67,3.59,2.19
PTZ-89 Type 89 MBT (FR),Canon de 120 millimètres ; mitrailleuses en 7.62 et en .50,Chine,,,5,Protection contre lesrmes de petits calibres et les éclats d'obus.,31,55,450,Length: 0.00 m; Width: 0.00 m; Height: 0.00 m,, ,  ,  
Pz 68 char (FR),"Un canon de 105 mm, une mitrailleuse coaxiale de 7,5 mm, une mitrailleusentiaérienne de 7,5 mm",Suisse,,,4,120 mm maximum,39.7,55,350,Length: 0.00 m; Width: 0.00 m; Height: 0.00 m,, ,  ,  
S-Tank Stridsvagn 103 (FR),"Canon de 105 mm, et 3 mitrailleuses de 7,62 mm.",Suède,,,3,Protection contre les armes de petits calibres et les éclats d'obus.,39,50,400,Length: 0.00 m; Width: 0.00 m; Height: 0.00 m,Deux lance tubes mortier Lyran, ,  ,  
Safir-74 T-72Z Type 72Z,"One 105 mm, one 7.62 mm coaxial machine gunnd one 12.7 mmnti-aicraft machine gun.",Iran,Russia / Iran,,4,"Protectiongainst smallrmsns shell splinters, Explosive Reactive Armor (ERA)","36,000",65  maximum road speed,510,"Length, 6.45 m; Width, 3.37 m; Height, 2.4 m","Fire control system Fotana EFPC-3-55, night visionnd NBC protection system.",6.45,3.37,2.4
T-14 Armata,"One 125mm gun, one 57mm automatic grenade launcher, one 12.7 mm machine gun",Russia,Russia,,3,"Protection against small arms and shell splinters. Active protection system and active, passive add-on armor","48,000",80 to 90  maximum road speed,500,Length: 8.7 m; Width: 3.5 m; Height: 3.3 m,"Infrared night vision, NBC protection system, automatic fire control system, active protection system,fire detection, and suppression system, battle management system",8.7,3.5,3.3
T-62,"One 115 mm 2A20 smoothbore gun, one 7.62 mm PKT coaxial machine gun and one 12.7 mm DShKM machine gun for self-protection.","Afghanistan, Algeria, Angola, Belarus, Cuba, Egypt, Ethiopia, Iran, Iraq, Israel, Kazakhstan, North Korea, Libya, Russia, Syria, Uzbekistan, Vietnam, and Yemen.",Russia,,4,"Protection against small firing arms and shell splinters, 100 mm thick maximum","40,000",50,450,Length: 9.33 m; gun forward 6.63 m hull Width: 3.3 m; Height: 2.39 m,"Infrared sight, night vision, NBC protection system, day/night vision sight,",9.33, gun forward 6.63 hull  3.3,2.39
T-62M,"One 115 mm 2A20 smoothbore gun, one 7.62 mm PKT coaxial machine gun and one 12.7 mm DShKM machine gun for self-protection.","Afghanistan, Egypt, Kazakhstan, Iraq, Syria, and Russia.",Russia,,4,"Protection against small firing arms and shell splinters, 120 mm front of the hull, 242 mm turret front","42,000",50,450,Length: 9.33 m; gun forward 6.63 m hull Width: 3.56 m; Height: 3.03 m,"Infrared sight, night vision, NBC protection system, day/night vision sight, fire control system, ballistic computer",9.33, gun forward 6.63 hull  3.56,3.03
T-64,,Russia - Ukraine - Uzbekistan,,,3,370-440 mm of RHA against HE rounds and 500-575 mm of RHA against HEAT rounds,"38,000",60,600,Length: 6.54 m; Width: 3.41 m; Height: 2.17 m,,6.54,3.41,2.17
T-64BM Bulat,"The Bulat MBT armament includes one 125mm gun, one 7.62mm coaxial machine gun, and one 12.7mm anti-aircraft machine gun.",Ukraine,Ukraine,"Day/Night vision system, NBC protection system, firing computer system, laser rangefinder, thermal imaging night sight",3,Passive (add-on) armor protection and built-in explosive reactive armor (ERA).,"47,000",60,500,Length: 6.54 m; Width: 3.6 m; Height: 2.17 m (hull),,6.54,3.6,  2.17 (hull)
T-64BV MBT,"One 125mm 2A46M-1 cannon, one 12.7mm NSVT machine gun, one 7.62mm coaxial machine gun","Russia, Uzbekistan, the Democratic Republic of the Congo, Ukraine",Russia,,3,Reactive armor Kontakt-1,"42,500",45,600,Length: 9.22 m; Width: 3.41 m; Height: 2.17 m,"NBC system, infra-red night vision equipment, laser rangefinder, ballistic computer",9.22,3.41,2.17
T-72AV,"One 125 mm 2A46M smoothbore gun, one 7.62mm coaxila machinend 12.7mm heavy machine gun","Kenya (77), Sudan (400), Nigeria (77), Georgia, RDC, Morocco,nd Russia",Ukrainend Russia,,3,Standardnd Kontakt-1 ERA explosivermour,"43,000",60,500,Lenght: 9.53 m; Width: 3.59 m; Height: 2.14 m,"infrared night vison, laser range finder, fire control system, NBC protection system",9.53,3.59,2.14
T-64BV MBT,"One 125 mm 2A46 smoothbore gun, one 7.62 mm PKT machine gun, one 12.7 mm NSVT machine gun, 12 smoke-grenades discharger","Algeria, Angola, Armenia, Azerbaidjan, Belarus, Bulgaria, Croatia, Czech Republic, Finland, Georgia, Hungary, India, Iran, Iraq, Kazakhstan, Kyrgyzstan, Libya, Macedonia, Morocco, Poland, Russia, Sierra Leone, Slovakia, Syria, Tajikistan, Turkmenistan, Ukraine, Uzbekistan, Yemen, Croatia, Serbia.",Russia,,3,500 - 600 mm armor maximum,"46,500",60  on road,"480 
550  with additional fuel drums",Length: 9.54 m; Width: 3.59 m; Height: 2.23 m,"NBC protection system, night vision system, laser range finder, snorkel with a fording kit",9.54,3.59,2.23
T-72B,"One 125mm gun, one 7.62mm coaxial machine gun, one 12.7mm heavy machine gun.",Russia and many other countries,Russia,,3,"Standard armor, explosive reactive armor, passive armor package","44,500",60,500,Length: 9.53 m; Width: 6.86 m; Height: 3.46 m,"Fire control system, laser range-finder, NBC protection system",9.53,6.86,3.46
T-72B1MS White Eagle,"One 125 mm cannon, one 7.62mm coaxial machine gun, and remotely operated weapon station 12.7mm caliber","Laos,  Nicaragua, Serbia, Vietnam",Russia,,3,Standard protection against firing of small arms and artillery shell splinters. ERA  Kontakt-1 and in option wire cage armor,"47,300",60,700,Length: 9.54 m; Width: 3.59 m; Height: ? m,"Automatic fire control system, Sosna-U day/night gunner`s sight, panoramic sight for commander, GPS navigation system",9.54,3.59,  ?
T-72B3,"One 125mm gun, one 7.62 PKTM machine gun and one 12.7mm NSV machine gun.","Russia, Belarus",Russia,,3,Standard armor with Kontakt-5 explosive reactive armor,"46,000",70,500,Length: 9.53 m; Width: 3.59 m; Height: 2.22 m,"NBC protection system, night vision equipment, satellite navigation system GLONASS, laser warning system, laser range finder, and automatized fire control system",9.53,3.59,2.22
T-72B3,"One 125mm gun, one 7.62 PKTM machine gun and one 12.7mm NSV machine gun.",Russia,"Russia, Belarus",,3,Standard and explosive reactive armor Relikt.,"45,000",60,550,Length: 9.53 m; Width: 3.59 m; Height: 2.22 m,"Night vision, fording kit, overpressure-type NBC protection system, laser range finder, thermal sight, ballistic computer, panoramic sight, image
intensifier,",9.53,3.59,2.22
T-72M1M,"one 125 mm 2A46 gun, one 7.62 mm PKT coaxial machine gun, one NSVT or PKT 12.7 mm machine gun, 12 81 mm smoke grenade discharger.",Proposal for Venezueland Peru,,,3 soldiers,"Steel armour and laminate armour, ERA explosive reactive armor",45,65  maximum speed on road,600,"Lenght, 9,24 m; Width, 4,75 m; Height, 2,37 m","Guided weapon system, fire control system, night and day vision, ballistic computer, armament stabilizer, automatic target tracker, electromagnetic protection system, satellite navigation sytem, NBC defence protection, fire-fighting equipment","Lenght, 9,24","  4,75","  2,37"
T-72M4 (FR),"Une mitrailleuse de 7,62 mm, une mitrailleuse de 14,5 mm et un canon de 125 mm",République Tchèque,,,3,Blindage réactif,41,65,620,Length: 0.00 m; Width: 0.00 m; Height: 0.00 m,"Conduite de tir, système de vision nuit/jour, protection incendie et NBC.", ,  ,  
T-72UA1,"one 125 mm 2A46M-1 smoothbore gun, one 7.62mm coaxila machinend 12.7mm heavy machine gun",Ukraine,Ukraine,,3,Standardnd Kontakt explosivermour,"45,000",65,500,Lenght: 9.5 m; Width: 3.5 m; Height: 2.2 m,"infrared night vison, laser range finder, fire control system, NBC protection system",9.5,3.5,2.2
T-80 Main Battle Tank Data,"one 125 mm gun, one 7.62 mm PKT machine gun, one NSVT or PKT 12.7 mm machine gun, 8-12 81 mm smoke grenade discharger.","Belarus, Cyprus, Kazakhstan, South Korea, Pakistan, Russia, Ukraine, Yemen.",Russia,,3,"550mm turret,500mm hull","42,500",70  maximum road speed,"335 , 440  with additional fuel drums.","Length: 9,9 m; Width: 3,4 m; Height: 2,20 m","Night vision, NBC protection, add-on armour, a fording system with a snorkel. laser range-finder,"," 9,9","  3,4","  2,20"
T-80BV,"One 125mm smoothbore gun, one 12.7mm anti-aircraft machine gun, and one 7.62mm coaxial machine gun.",Russia,Russia,,3,All-welded steel armor and Kontakt explosive reactive armor to the hull and turret.,"43,700","70  road, 48  off-road","335 , 400  with additional fuel drums",Length: 9.65 m; Width: 3.4 m; Height: 2.21 m,"NBC protection system, night vision equipment, computerized fire control, laser range finder, fording kit",9.65,3.4,2.21
T-80BVM,"One 125mm cannon, one 7.62mm coaxial machine, and one 12.7mm heavy machine gun",Russia,Russia,"A fire control system, Gunner's thermal sight, Commander's panoramic sight, NBC protection system, Radio communication system",3,"Combination of composite armor, explosive reactive armor (ERA), and modular armor.","46,000","75  road speed, 45  off-road",500  with internal fuel,Length: 9.65 m; Width: 3.6 m; Height: 2.2 m (Gun forward),,9.65,3.6,  2.2 (Gun forward)
T-80U T-80UM,,"Belarus, China, Cyprus, Egypt, Kazakhstan, Pakistan, Russia, South Korea, Ukraine, Yemen",,,3,"Hull with improved protection against kinetic energy and HEAT (High Explosive Anti-Tank) attack; turret with renovated ceramic system, Protection equivalent to 550mm","46,000",70,335 ; 440  with additional fuel tanks,Length: 6.98 m; Width: 3.58 m; Height: 2.22 m (hull),,6.98,3.58,  2.22 (hull)
T-84 Oplot,"The T-84 Oplot MBT armament includes a 125mm gun, a 7.62mm coaxial machine gun, and a 12.7mm anti-aircraft machine gun.","Thailand, Ukraine",Ukraine,"Day/Night vision system, NBC protection system, firing computer system,",3,Protection armour Kontakt-5,"48,000",65 to 70 ,450,Length: 7.70 m; Width: 3.77 m; Height: 2.76 m,,7.7,3.77,2.76
T-90A,"One 125mm cannon, one 7.62mm coaxial machine gun, and one 12,7mm heavy machine gun.","Azerbaijan, Algeria, Russia, Syria, Iraq",Russia,,3,Standard protection against firing of small arms and shell splinters. Kontakt-5 ERA third-generation explosive reactive armor,"46,500",60,500,Length: 9.53 m; Width: 3.78 m; Height: 2.19 m,"NBC protection, fire detection and suppression system, nose-mounted dozer blade and a deep fording kit, night vision, laser warning system, active protection system",9.53,3.78,2.19
T-90M Model 2017 Proryv-3,"One 125mm cannon, one PKT 7.62mm coaxial machine gun, one NSVT 12.7mm machine gun",Russia,Russia,"NBC protection, fire detection and suppression system, nose-mounted dozer blade, deep fording kit, modern fire control system, active protection system",3,"Standard armor and Explosive Reactive Armour Relikt, RPG metal net, and bar-slat armor","46,500",60,550,Length: 6.68 m; Width: 3.78 m; Height: 2.23 m,,6.68,3.78,2.23
T-90M Model 2017 Proryv-3,"One 125mm cannon, one PKT 7.62mm coaxial machine gun, one NSVT 12.7mm machine gun","Russia, India",Russia,,3,"Protection against small arms and shell splinters, detachable explosive reactive armor, side panels with explosive armor","48,000",72  maximum road speed,550,Length: 6.68 m; Width: 3.78 m; Height: 2.23 m,"Remote machine gun on top turret, computer firing control system, gunner sight with video control, air conditioner cooling unit, commander video viewing device.",6.68,3.78,2.23
T-90S MBT,"One 125 mm 2A46M gun, one 7.62 mm PKTM machine gun, and one 12.7 mm NSVT machine gun","Algeria, Armenia, Azerbaijan, India, Iraq, Russia, Syria, Turkmenistan, Uganda, Vietnam, and Yemen.",Russia,,3,Steel armor and Kontakt-5 ERA which provides protection against APFSDS and HEAT-type projectiles,"46,500",60  maximum road speed,550,Length: 6.86 m (hull); Width: 3.37 m; Height: 2.22 m,"NRBC protection system, night vision equipment, computerized firing control system, laser warning system, laser range system, fire detection and suppression system, dozer blade, and deep fording kit.", 6.86 (hull),3.37,2.22
T-90,"One 125 mm smoothbore 2A46M gun, one PKT 7.62 mm coaxial machine gun, one NSVT 12.7 mm anti-aircraft machine gun, 8x81 mm smoke grenade launchers","Algeria, Russia, Saudi Arabia, Turkmenistan",Russia,,3,"Composite armour, reactive armour ERA.","46,500",60  maximum road speed,550  on the road,"Length, 6.86 m hull; 9.53 m gun forward
Width, 2.49 m; Height, 2.06 m","Fire control system, NBC protection, fire detection and suppression system, nose-mounted dozer blade and a deep fording kit, optoelectronic countermeasures system Shtora-1, laser guidance and laser range-finding systems ", 6.86 hull," 9.53 gun forward
 2.49",2.06
Type 10 MBT.,,Japan,Japan,"Fire control system, NBC protection, C4I systems, nose-mounted bulldozer blade, night-vision cameras and laser warning systems.",3,all-welded steel amour including nano-crystal steel and fourth generation of modular ceramic composite armor,"48,000  combat loaded",70,500,"Length: 9,42 m; Width: 3,24 m; Height: 2,30 m",," 9,42","  3,24","  2,30"
Type 59 WZ120,"One 100 m gun, one coaxial 7.62 mm machine gun, one, one anti-aircraft machine gun 12.7 mm and one 7.62 mm machine gun for the driver.","Albania, Bangladesh, Cambodia, China, Republic Democratic of Congo, Iran, Iraq, North Korea, Pakistan, Sudan, Tanzania, Vietnam, Zambia, Zimbabwe.",China,,4 soldiers,Protectiongainst smallrms firingnd shell splinters.,"36,000",40 -50  maximum road speed,"440 , 600  with external supply","Length, 6.04 m (hull); Width, 3.27 m; Height, 2.59 m",NBC protection systemnd night vision., 6.04 (hull),3.27,2.59
Type 62 (FR),"Canon de 85 mm, deux mitrailleuses de 7,62 mm et une mitrailleuse antiaérienne de 12,7 mm","Albanie, Bangladesh, Cambodge, Chine, République du Congo, Corée du Nord, Mali, Soudan, Tanzanie, et Vietnam.",,,4,50 mm maximum au niveau de la tourelle,21,60,440,Length: 0.00 m; Width: 0.00 m; Height: 0.00 m,, ,  ,  
Type 69 (FR),"Canon de 100 mm, 1 mitrailleuse coaxiale de 7,62 mm, 1 mitrailleuse de 7,62 mm placée à l'avant du véhicule, et une mitrailleuse de 12,7 mm placée sur l'écoutille de droite de la tourelle","Bangladesh, Chine, Iran, Irak, Myanmar, Pakistan, Thaïlande, et Zimbabwe.",,,4,100 mm maximum,36.7,50,440,Length: 0.00 m; Width: 0.00 m; Height: 0.00 m,, ,  ,  
Type 80 (FR),"Canon de 105 mm, une mitrailleuse coaxiale de 7,62 mm, une mitrailleuse antiaérienne de 12,7 mm",Chine,,,4,100 mm maximum,38,60,430,Length: 0.00 m; Width: 0.00 m; Height: 0.00 m,, ,  ,  
Type 85 (FR),"Canon de 125 mm, mitrailleuse coaxiale de 7,62 mm, une mitrailleuse antiaérienne de 12,7 mm .","Chine,Pakistan",,,4,? mm maximum,41,58,500,Length: 0.00 m; Width: 0.00 m; Height: 0.00 m,, ,  ,  
Type 90-II MBT 2000,"One 125 mm, one coaxial machine gun 7.62 mm calibre and one 12.7 mm caliber machine gun","China, Pakistan (Al Khalid), Bangladesh",,,3 soldiers,"Steelnd compositermour, explosive reactivermour font of the turretnd the hull.","48,000",62 km on road,450,"Length, 10,07 m; Width, 3,4 m; Height, 2,37 m","Firing control computer system, night vision, NBC system"," 10,07","  3,4","  2,37"
Type 96 ZTZ96,"One 125 mm gun, one 12,7 mmnti-aircraft machine gun, one 7,62 mm coaxial machine gun.",,,,3 soldiers,Ballistic protection,41.5,65  on road,"400 , 600  with external fuel tanks",Length: 11.65m; Height: 2.30m; Width: 3.30m,"Receive/transmit, telephone, laser communicationsnd IFF, over-presure NBC protection,utomatic fire suppression system", 11.65m,2.30m,3.30m
Type 96A ZTZ96A,"One 125 mm gun, one 12,7 mmnti-aircraft machine gun, one 7,62 mm coaxial machine gun.",,,,3 soldiers,Ballistic protectionnd ERArmor.,"42,800",65  on road,"400 , 600  with external fuel tanks",Length: 11.65m; Height: 2.30m; Width: 3.30m,"Receive/transmit, telephone, laser communicationsnd IFF, over-pressure NBC protection,utomatic fire suppression system", 11.65m,2.30m,3.30m
Type 99A 99A2 ZTZ99A,"One 125mm cannon, one 7.62mm Type 86 coaxial machine gun and one 12.7mm QJC Type 88 heavy machine gun",China,China,,3,"Welded steel armour, composites and ceramics and ERA (Explosive Reactive Armour)","58,000",80,"600 , 800 with additional fuel drums",Length: 6.9 m; Width: 3.7 m; Height: 2.35 m (roof),"Receive/transmit, telephone, laser communications and IFF, over-pressure NBC protection, automatic fire suppression system",6.9 m,3.7 m,2.35 m (roof)
T-90S MBT,"One 125 mm 2A46M gun, one 7.62 mm PKTM machine gun, and one 12.7 mm NSVT machine gun","Algeria, Armenia, Azerbaijan, India, Iraq, Russia, Syria, Turkmenistan, Uganda, Vietnam, and Yemen.",Russia,,3,Steel armor and Kontakt-5 ERA which provides protection against APFSDS and HEAT-type projectiles,"46,500",60  maximum road speed,550,Length: 6.86 m (hull); Width: 3.37 m; Height: 2.22 m,"NRBC protection system, night vision equipment, computerized firing control system, laser warning system, laser range system, fire detection and suppression system, dozer blade, and deep fording kit.", 6.86 (hull),3.37,2.22
Vickers Char (FR),"Un canon de 105 mm, une mitrailleuse coaxiale de 7,62 mm, une mitrailleuse de défense antiaérienne de 7,62 mm ou de 12,7 mm","Inde, Kenya, Nigeria, Tanzanie.",,,4,80 mm,39.5,60,490,Length: 0.00 m; Width: 0.00 m; Height: 0.00 m,, ,  ,  
VT2 Main Battle Tank.,,"China, Tanzania ",China,"Fire Control, Laser Rage Finder, Night Visions Systems, NBC Protection System, Radio Systems",3,"670mm composite armor

ERA add-on ","42,800",57,500,Length: 10.49 m; Width: 3.48 m; Height: 2.34 m,,10.49,3.48,2.34
VT4 MBT-3000,"One 125mm smoothbore gun, one 7.62mm coaxial machine gun, and one 12.7mm remote weapon station","China, Nigeria, Pakistan, Thailand",China,,3,Improved composite armor for the hull nose and the front part of the turret. Reactive armor can be fitted to each side of the tank.,"52,000",70,500,Length: 10.10 m; Width: 3.50 m; Height: 2.40 m,"Collective NBC protection system, IFF (Identification, friend or foe), GL5 active protection system, fire extinguisher feature, air-conditioning system, and explosion suppression system.",10.1,3.5,2.4
Zulfiqar 1,"One 125 mm, one 12.7 mm anti-aicraft machine gun.",Iran,Iran,,4,Steel armour and composite armour at the front,"36,000",65  maximum road speed,450,Length: 6.7 m; Width: 3.6 m; Height: 2.4 m,"Computerized fire control system, laser range finder, night sight, NBC protection system.",6.7,3.6,2.4
Zulfiqar 3,"One 125mm cannon, one MG3 7.62mm machine gun, one 12.7 mm DShK machine gunnd one remote weapon station with 7.62mm machine gun",Iran,Iran,,3,Steelrmornd ceramic/laminatedd-onrmor,"40,000",75  maximum road speed,450,"Length: 8.2 m; Width: ? m; Heigh:, 2.6 m","Computerized fire control, laser range finder, passive image-intensifier, stabilized day/night sight, NBC protection system, spare wheels.",8.2,  ?," , 2.6"
